Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Date,Winner,KD_diff,STR_diff,TD_diff,SUB_diff,target,Time_seconds,Fighter 1_code,Fighter 2_code,Weight_Class_code,Method_code
"Las Vegas, Nevada, USA",Bill Algeo,Alexander Hernandez,1.0,0.0,110.0,75.0,1.0,0.0,0.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07,Bill Algeo,1.0,35.0,1.0,0.0,0,300,166,76,2,69
"Las Vegas, Nevada, USA",Karolina Kowalkiewicz,Diana Belbita,0.0,0.0,141.0,99.0,1.0,2.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07,Karolina Kowalkiewicz,0.0,42.0,-1.0,0.0,0,300,896,604,14,69
"Las Vegas, Nevada, USA",Nate Maness,Mateus Mendonca,0.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,Flyweight,KO/TKO Punches,1.0,4:40,UFC Fight Night,2023-10-07,Nate Maness,0.0,26.0,0.0,0.0,0,280,1205,1492,3,14
"Las Vegas, Nevada, USA",Vanessa Demopoulos,Kanako Murata,0.0,0.0,31.0,34.0,0.0,5.0,0.0,0.0,Women's Strawweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07,Vanessa Demopoulos,0.0,-3.0,-5.0,0.0,0,300,1622,1241,14,69
"Las Vegas, Nevada, USA",Aoriqileng,Johnny Munoz,1.0,0.0,44.0,7.0,2.0,4.0,0.0,3.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07,Aoriqileng,1.0,37.0,-2.0,-3.0,0,300,122,1117,0,69
"Las Vegas, Nevada, USA",JJ Aldrich,Montana De La Rosa,0.0,0.0,65.0,67.0,0.0,0.0,0.0,0.0,Women's Flyweight,U-DEC,3.0,5:00,UFC Fight Night,2023-10-07,JJ Aldrich,0.0,-2.0,0.0,0.0,0,300,651,1609,13,69
"Las Vegas, Nevada, USA",Mateusz Gamrot,Rafael Fiziev,0.0,0.0,16.0,18.0,1.0,0.0,0.0,0.0,Lightweight,KO/TKO,2.0,2:03,UFC Fight Night,2023-09-23,Mateusz Gamrot,0.0,-2.0,1.0,0.0,0,123,1084,1767,6,3
"Las Vegas, Nevada, USA",Bryce Mitchell,Dan Ige,0.0,0.0,23.0,18.0,5.0,0.0,1.0,0.0,Featherweight,U-DEC,3.0,5:00,UFC Fight Night,2023-09-23,Bryce Mitchell,0.0,5.0,5.0,1.0,0,300,214,501,2,69
"Las Vegas, Nevada, USA",Marina Rodriguez,Michelle Waterson-Gomez,0.0,0.0,70.0,13.0,1.0,1.0,0.0,0.0,Women's Strawweight,KO/TKO Punches,2.0,2:42,UFC Fight Night,2023-09-23,Marina Rodriguez,0.0,57.0,0.0,0.0,0,162,1053,1555,14,14
"Las Vegas, Nevada, USA",Bryan Battle,AJ Fletcher,0.0,0.0,45.0,25.0,1.0,0.0,1.0,0.0,Welterweight,SUB Rear Naked Choke,2.0,4:32,UFC Fight Night,2023-09-23,Bryan Battle,0.0,20.0,1.0,1.0,0,272,212,1,10,58
"Las Vegas, Nevada, USA",Charles Jourdain,Ricardo Ramos,0.0,0.0,8.0,0.0,0.0,2.0,1.0,1.0,Featherweight,SUB Guillotine Choke,1.0,3:12,UFC Fight Night,2023-09-23,Charles Jourdain,0.0,8.0,-2.0,0.0,0,192,251,1814,2,43
"Las Vegas, Nevada, USA",Miles Johns,Dan Argueta,0.0,0.0,43.0,33.0,2.0,2.0,0.0,2.0,Bantamweight,U-DEC,3.0,5:00,UFC Fight Night,2023-09-23,Miles Johns,0.0,10.0,0.0,-2.0,0,300,1167,492,0,69
"Las Vegas, Nevada, USA",Tim Means,Andre Fialho,2.0,0.0,104.0,51.0,0.0,1.0,0.0,0.0,Welterweight,KO/TKO Punches,3.0,1:15,UFC Fight Night,2023-09-23,Tim Means,2.0,53.0,-1.0,0.0,0,75,1569,113,10,14
"Las Vegas, Nevada, USA",Cody Brundage,Jacob Malkoun,0.0,0.0,2.0,28.0,1.0,1.0,0.0,0.0,Middleweight,DQ,1.0,4:15,UFC Fight Night,2023-09-23,Cody Brundage,0.0,-26.0,0.0,0.0,0,255,309,913,7,1
